,job_title,employment,edu_level,job_family
43,admin assistant,out of work and looking for work,"high school graduate, diploma or the equivalent (for example: ged)",Healthcare Support
44,cook,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",Food Preparation and Serving Related
45,grad student,a student,master’s degree,None
46,aviation electricians mate,military,"some college, no degree",Transportation and Material Moving
47,student,a student,"some college, no degree",None
48,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
49,software engineer,employed for wages,bachelor’s degree,Architecture and Engineering
50,professional neet,out of work but not currently looking for work,"some college, no degree",None
51,cashier,employed for wages,"some college, no degree",Sales and Related
52,service desk analyst,employed for wages,"some college, no degree",Business and Financial Operations
53,researcher,a student,master’s degree,None
54,None,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
55,None,out of work but not currently looking for work,"some college, no degree",None
56,loser,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
57,store clerk,employed for wages,bachelor’s degree,Office and Administrative Support
58,neet,out of work but not currently looking for work,"some college, no degree",None
59,intern,employed for wages,bachelor’s degree,None
60,management,employed for wages,bachelor’s degree,Business and Financial Operations
61,engineering co-op student,employed for wages,"some college, no degree",Architecture and Engineering
62,supervisor,employed for wages,bachelor’s degree,Personal Care and Service
63,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
64,student,a student,"some high school, no diploma",None
65,it,employed for wages,"some college, no degree",None
66,software development,a student,"some college, no degree",Computer and Mathematical
67,bum,out of work but not currently looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
68,none,retired,"some college, no degree",None
69,grad student,a student,master’s degree,None
70,unemployed,unable to work,"high school graduate, diploma or the equivalent (for example: ged)",None
71,it technician,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)","Life, Physical, and Social Science"
72,.,a student,bachelor’s degree,None
73,engineer,employed for wages,bachelor’s degree,Architecture and Engineering
74,laborer,employed for wages,"some college, no degree","Farming, Fishing, and Forestry"
75,software engineer,employed for wages,bachelor’s degree,Architecture and Engineering
76,student,a student,"some college, no degree",None
77,product designer,employed for wages,master’s degree,"Arts, Design, Entertainment, Sports, and Media"
78,data entry,employed for wages,bachelor’s degree,Office and Administrative Support
79,student,a student,"some college, no degree",None
80,engineer,self-employed,"some college, no degree",Architecture and Engineering
81,sales,employed for wages,bachelor’s degree,Sales and Related
82,.,a student,bachelor’s degree,None
83,.,out of work but not currently looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
84,systems analyst,out of work but not currently looking for work,"some college, no degree",Business and Financial Operations
85,freshman,employed for wages,"some high school, no diploma",None
86,coder,a student,associate degree,None
87,undergraduate.,a student,"some college, no degree",None
88,medical services,a student,trade/technical/vocational training,Healthcare Support
89,delivery guy,out of work and looking for work,"some college, no degree",None
90,it operations,employed for wages,bachelor’s degree,Transportation and Material Moving
91,engineer,employed for wages,bachelor’s degree,Architecture and Engineering
92,intermediate call center representative,employed for wages,bachelor’s degree,Office and Administrative Support
93,unemployed,unable to work,"high school graduate, diploma or the equivalent (for example: ged)",None
94,.,out of work but not currently looking for work,bachelor’s degree,None
95,call center agent,employed for wages,"some college, no degree",None
96,economist,a student,bachelor’s degree,"Life, Physical, and Social Science"
97,farm hand,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",Business and Financial Operations
98,i have no job,a student,"some college, no degree",None
99,undergraduate,a student,"some college, no degree",None
100,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
101,loser,a student,"some high school, no diploma",None
102,na,unable to work,"some college, no degree",None
103,none,unable to work,"high school graduate, diploma or the equivalent (for example: ged)",None
104,optometric tech,a student,master’s degree,None
105,software developer,employed for wages,bachelor’s degree,Computer and Mathematical
106,neet,out of work but not currently looking for work,"some college, no degree",None
107,worker,employed for wages,"some college, no degree",Construction and Extraction
108,student. part time web developer?,a student,bachelor’s degree,Computer and Mathematical
109,funemployed,out of work and looking for work,bachelor’s degree,None
110,none,out of work and looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
111,i/t support,a student,bachelor’s degree,None
112,grunt,military,bachelor’s degree,None
113,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
114,unemployed,unable to work,bachelor’s degree,None
115,nothing,out of work and looking for work,bachelor’s degree,None
116,student,a student,"some college, no degree",None
117,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
118,software developer,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",Computer and Mathematical
119,ceo,self-employed,trade/technical/vocational training,None
120,factory worker,employed for wages,"some college, no degree",Construction and Extraction
121,none,a student,"some college, no degree",None
122,none,out of work and looking for work,"some college, no degree",None
123,not employed,out of work but not currently looking for work,"high school graduate, diploma or the equivalent (for example: ged)",None
124,popo,a student,"some college, no degree",None
125,supervisor,employed for wages,bachelor’s degree,Personal Care and Service
126,None,out of work but not currently looking for work,"some college, no degree",None
127,cashier,a student,"some college, no degree",Sales and Related
128,super pooper,retired,doctorate degree,None
129,truck driver,employed for wages,trade/technical/vocational training,Transportation and Material Moving
130,None,out of work but not currently looking for work,"some college, no degree",None
131,user-carer,employed for wages,"some high school, no diploma",None
132,lawyer,employed for wages,professional degree,None
133,cook,employed for wages,"some college, no degree",Food Preparation and Serving Related
134,retail worker,employed for wages,professional degree,Construction and Extraction
135,u serious?,a student,"some college, no degree",None
136,senior software developer,employed for wages,bachelor’s degree,Computer and Mathematical
